Unnamed: 0,State_Name,Crop_Type,Crop,N,P,K,pH,rainfall,temperature,Production_in_quintals,Area_in_acres,Yield_quintals_per_acre
0,andhra pradesh,kharif,cotton,120,40,20,5.46,654.34,29.26666667,94000,18038.665,5.211028643
1,andhra pradesh,kharif,horsegram,20,60,20,6.18,654.34,29.26666667,10000,8154.465,1.226322021
2,andhra pradesh,kharif,jowar,80,40,40,5.42,654.34,29.26666667,102000,24957.605,4.086930617
3,andhra pradesh,kharif,maize,80,40,20,5.62,654.34,29.26666667,49000,6918.94,7.082009672
4,andhra pradesh,kharif,moong,20,40,20,5.68,654.34,29.26666667,5000,3212.365,1.556485642
5,andhra pradesh,kharif,ragi,50,40,20,5.64,654.34,29.26666667,118000,16556.035,7.127310374
6,andhra pradesh,kharif,rice,80,40,40,5.54,654.34,29.26666667,754000,87969.38,8.571164194
7,andhra pradesh,kharif,sunflower,50,60,30,5.36,654.34,29.26666667,111000,88710.69499999999,1.251258374
8,andhra pradesh,rabi,horsegram,20,60,20,6,288.3,25.46,2000,1482.63,1.348954223
9,andhra pradesh,rabi,jowar,80,40,40,5.5,288.3,25.46,94000,46455.74,2.023431335
10,andhra pradesh,rabi,maize,80,40,20,5.54,288.3,25.46,24000,1482.63,16.18745068
11,andhra pradesh,rabi,ragi,50,40,20,5.6,288.3,25.46,10000,1482.63,6.744771116
12,andhra pradesh,rabi,rice,80,40,40,5.54,288.3,25.46,373000,44478.9,8.385998754
13,andhra pradesh,rabi,sunflower,50,60,30,5.32,288.3,25.46,111000,74378.605,1.492364639
14,andhra pradesh,rabi,wheat,60,30,30,6.4,288.3,25.46,2000,741.3149999999999,2.697908446
15,andhra pradesh,kharif,horsegram,20,60,20,5.98,654.34,29.26666667,20000,7660.255,2.610879142
16,andhra pradesh,kharif,jowar,80,40,40,5.4,654.34,29.26666667,15000,5930.52,2.529289169
17,andhra pradesh,kharif,maize,80,40,20,5.5,654.34,29.26666667,3000,247.105,12.14058801
18,andhra pradesh,kharif,moong,20,40,20,5.5,654.34,29.26666667,1000,494.21,2.023431335
19,andhra pradesh,kharif,ragi,50,40,20,5.64,654.34,29.26666667,99000,26687.34,3.709624114
20,andhra pradesh,kharif,rice,80,40,40,5.5,654.34,29.26666667,844000,104525.415,8.074591237
21,andhra pradesh,kharif,sesamum,30,15,30,6.4,654.34,29.26666667,1000,988.42,1.011715667
22,andhra pradesh,kharif,sunflower,50,60,30,5.62,654.34,29.26666667,6000,3212.365,1.867782771
23,andhra pradesh,rabi,horsegram,20,60,20,5.9,288.3,25.46,4000,2965.26,1.348954223
24,andhra pradesh,rabi,ragi,50,40,20,5.32,288.3,25.46,23000,3953.68,5.817365088
25,andhra pradesh,rabi,rice,80,40,40,5.4,288.3,25.46,1374000,141838.27,9.687089387
26,andhra pradesh,rabi,sunflower,50,60,30,5.48,288.3,25.46,4000,2223.945,1.798605631
27,andhra pradesh,kharif,cotton,120,40,20,5.64,654.34,29.26666667,234000,24216.29,9.662916987
28,andhra pradesh,kharif,jowar,80,40,40,5.38,654.34,29.26666667,6000,2718.155,2.207379638
29,andhra pradesh,kharif,maize,80,40,20,5.66,654.34,29.26666667,29000,3953.68,7.334938589
30,andhra pradesh,kharif,ragi,50,40,20,5.58,654.34,29.26666667,1000,494.21,2.023431335
31,andhra pradesh,kharif,rice,80,40,40,5.34,654.34,29.26666667,4293000,529051.805,8.114517254
